,"municipios","Property Name Occupied","Data","Area","Families","Organization"
"Maranhão","Ribamar Fiquene","Faz. Novo Horizonte/Acamp. 25 de Junho","25/06/2008","1200","150","MST"
"Mato Grosso","Nova Olímpia","Fazenda Palmital","04/08/2008","2331","140","MST"
"Mato Grosso do Sul","Aquidauana","Fazenda Santa Bárbara","11/02/2008","300","50","Índios"
"Mato Grosso do Sul","Dourados","Fazenda Serrana","16/06/2008","100","15","Índios"
"Mato Grosso do Sul","Miranda","Fazenda Petrópolis","25/08/2008",,"60","Índios"
"Mato Grosso do Sul","Miranda","Sítio Boa Sorte","12/06/2008",,,"Índios"
"Mato Grosso do Sul","Miranda","Sítio Boa Sorte","17/06/2008",,"60","Índios"
"Mato Grosso do Sul","Rio Brilhante","Fazenda Santo Antônio da Nova Esperança","27/02/2008","430","50","Índios"
"Minas Gerais","Campo Florido/Uberlândia","Fazenda Paraíso","20/04/2008","509","150","MST"
"Minas Gerais","Canápolis","Área em Canápolis","04/05/2008",,"12","Fetaemg"
"Minas Gerais","Frei Inocêncio","Faz. Eldorado/Acamp. Pe. Gino","23/06/2008","2880","45","MST"
"Minas Gerais","Frei Inocêncio","Faz. Monte Azul/Acamp. Maria da Penha","21/06/2008","1902","12","MST"
"Minas Gerais","Gurinhatã","Fazenda Barro Preto","01/06/2008",,"30","LCPCO"
"Minas Gerais","Ituiutaba","Área em Ituiutaba","27/07/2008",,"12","Contag"
"Minas Gerais","Jequitaí","Faz. Correntes/Acamp. Erivan","17/04/2008","11000","100","MST"
"Minas Gerais","Prata","Fazenda Buracão","17/02/2008",,"160","MLST"
"Minas Gerais","Rio Pardo de Minas","Fazenda Curral Novo","13/06/2008",,"6","MST"
"Minas Gerais","Rio Pardo de Minas","Faz. Jacu/Japoré","12/06/2008","380","80","OLST"
"Pará","Altamira","Faz. Atalas/Tigre/Castelo dos Sonhos/PDS Brasília","20/07/2008","55000","200","SI"
"Pará","Breu Branco","Faz. da Globe Metais","13/04/2008",,"70","MST"
"Pará","Breu Branco","Fazenda Sul - América","16/01/2008",,"61","Fetagri/PA"
"Pará","Canaã dos Carajás/Parauapebas","Fazenda São Luís","17/08/2008","21000","700","MST"
"Pará","Conceição do Araguaia","P.A. Pecosa/Faz. N. Sra. Apar. Agrop/Jocom","29/01/2008",,"30","STR"
"Pará","Conceição do Araguaia","P.A. Pecosa/Faz. N. Sra. Apar. Agrop/Jocom","15/08/2008",,"10","STR"
"Pará","Curionópolis/Eldorado dos Carajás","Faz. Serra Norte/Surubim","21/01/2008",,,"Fetagri/PA"
"Pará","Eldorado dos Carajás","Faz. Iraque/Acamp. Jerusalém","05/02/2008","1252","100","Fetagri/PA"
"Pará","Eldorado dos Carajás/Irituia","Agrop. Sta. Bárbara/Ma Bonita/Compl. Faz. SãoFelipe","25/07/2008","23000","324","MST"
"Pará","Itupiranga","Fazenda Água Boa","14/06/2008",,"150","Fetagri/PA"
"Pará","Marabá","Faz. Soberana/P. A. Jatobá","20/02/2008","278","21","STR"
"Pará","Marabá","Faz. de Márcio Aparecido Tavares","01/11/2008","1000","60","OI"
"Pará",,"Faz. Vaca  Branca/Sta. Maria","22/02/2008",,"30","Fetagri/PA"
"Pará","Counties","Property Name Occupied","Data","Área","Famílias","Organização"
"Pará","Salvaterra/Santa Maria dasBarreiras","Complexo Forkilha/Assent. Agropec","28/05/200","40000","45","LCP"
"Pará","São Félix do Xingu","Faz. Terra Roxa/Faz. São Félix/São Miguel","12/10/200","11900","72","AST*"
"Pará","Tucumã","Faz. Nega Madalena/De Beira-Mar","30/08/200",,"322","MST"
"Pará","Tucuruí","Acamp. João Canuto/Faz. Arumatheua","21/01/200","2500","72","SI"
"Paraíba","Algodão de Jandaíra","Fazenda Serra Preta","17/04/200",,"60","MST"
"Paraíba","Aparecida/Sousa","Acamp. Nova Vida e Pau d' Arco/Várzeas de Sousa","08/06/200","1000","150","MST"
"Paraíba","Boqueirão","Fazenda Barrocas","17/04/200",,"75","MST"
"Paraíba","Caaporã","Fazenda Alvorada","05/09/200",,"100","MST"
"Paraíba","Imaculada","Faz. Coruja e Saco do Cosme","26/10/200","1750","40","MST"
"Paraíba","Mari","Faz. N. Sra. de Lourdes/Us. Jacunga","10/06/200","1100","40","Via Campesina"
"Paraíba","Pilar","Fazenda Barra II","09/08/200","40","100","MST"
"Paraíba","Santana dos Garrotes","Faz. em Santana dos Garrotes","17/04/200",,"60","MST"
"Paraíba","São Domingos do Pombal","Sítio Verde I e II/Faz. São Lourenço","07/12/200",,"60","MST"
"Paraíba","São Mamede","Faz. em São Mamede","17/04/200",,"100","MST"
"Paraná","Alvorada do Sul","Fazenda Itaverá/Us. Central do Paraná S.A","06/12/200","1000","200","Contag"
"Paraná","Barbosa Ferraz","Fazenda São Paulo","07/07/200","414","150","MST"
"Paraná","Cruzeiro do Oeste","Fazenda Santa Fé","23/12/200","480","70","Contag"
"Paraná","Jacarezinho","Fazenda Itapema","12/04/200",,"250","MST"
"Paraná","Jaguapitã","Fazenda Cedro","23/05/200","2640","20","MAST"
"Paraná","Ortigueira","Faz. Copramil/Acamp. Terra Livre","02/04/200","360","35","MST"
"Paraná","Palmas","Faz. Conchas/Palmas","22/02/200",,"150","MST"
"Paraná","Porecatu","Us. Central do Paraná/Faz. Variante","01/11/200","1362","400","MST"
"Paraná","Primeiro de Maio","Faz. Coopersucar/Agrop. Neblina","03/01/200",,,"MST"
"Paraná","Primeiro de Maio","Faz. Coopersucar/Agrop. Neblina","07/05/200","475","50","MST"
"Paraná","Reserva do Iguaçu","Faz. Reserva/Acamp. Brasil","02/05/200","2619","50","MST"
"Paraná","Reserva do Iguaçu","Fazenda Rodeio","28/09/200",,"99","MST"
"Paraná","Reserva do Iguaçu","Fazs. Sta. Maria e Jussara","22/05/200",,"100","MST"
"Paraná","São Miguel do Iguaçu","T.I. Avá Guarani / Ocuí/Res. Sta. Rosa doOcuí/Itaipu","15/05/200","231","22","Índios"
"Pernambuco","Água Preta","Usina Sta. Tereza/Terezinha","14/04/200",,"250","MST"
"Pernambuco","Águas Belas","Fazenda Nova","15/04/200",,"100","MST"
"Pernambuco","Aliança","Usina Olho d' Água","20/06/200",,"150","MST"
"Pernambuco","Altinho","Fazenda Porteira","30/03/200","500","80","Fetraf"
"Pernambuco","Altinho/São Caitano","Fazenda Santo Antônio","30/03/200","650","90","Fetraf"
"Pernambuco","Barreiros","Engenho Bombarda","14/04/200",,"70","MST"
"Pernambuco","Belém de Maria/Caruaru","Fazenda Bananeiras","13/04/200",,"150","MST"
"Pernambuco","Buíque","Fazenda Grande","13/04/200",,"150","MST"
"Pernambuco","Cabo de Santo Agostinho","Faz. Brilhante/Us. Liberdade","15/04/200","1200","150","MST"
"Pernambuco","Cabrobó","Acampamento Liberdade","13/04/200",,"200","MST"
"Pernambuco","Carnaubeira da Penha","Fazenda José Gomes","13/04/200",,"200","MST"
"Pernambuco","Caruaru","Fazenda Serraria","14/03/200","600","50","MST"
"Pernambuco","Catende","Fazenda Bom Retiro","14/04/200",,"150","MST"
"Pernambuco","Catende","Engenho Buriti","14/04/200",,"80","MST"
"Pernambuco","Custodia","Fazenda Samambaia","16/09/200",,"28","CPT"
"Pernambuco","Escada","Engenho Dois Braços de Cima","13/04/200","550","70","MST"
"Pernambuco","Escada","Engenho São José","13/04/200","460","100","MST"
"Pernambuco","Goiana","Engenho Gurijó","13/04/200",,"80","MST"
"Pernambuco","Gravatá","Fazenda Serra Grande","13/04/200",,"35","MST"
"Pernambuco","Ibimirim","Fazenda Boa Vista","13/04/200",,"150","MST"
"Pernambuco","Ibimirim","Fazenda Carnaúba","14/03/200",,"100","MST"
"Pernambuco","Itambé","Engenho Paraguaçu","13/04/200",,"130","MST"
"Pernambuco","Jaboatão dos Guararapes","Eng. São Joaquim/Us. Colônia","14/04/200","408","50","MST"
"Pernambuco","Lagoa Grande","Fazenda Passarinho","14/04/200",,"180","MST"
"Pernambuco","Moreno","Engenho Várzea do Una","18/05/200","800","100","MST"
"Pernambuco","Moreno","Engenho Xixaim","12/04/200",,"100","MST"
"Pernambuco","Ouricuri","Fazenda Serra Preta","05/11/200",,,"MST"
"Pernambuco","Paranatama","Fazenda Rancho Verde","14/04/200","1350","80","MST"
"Pernambuco","Paudalho","Engenho Planalto","16/01/200","1800","60","MST"
"Pernambuco","Pesqueira","Fazenda Ipanema","12/04/200","1500","60","MST"
"Pernambuco",,"Fazenda Picos","13/04/200",,"500","MST"
"Pernambuco","Petrolândia","Malhada Vermelha/Chesf","14/04/2008",,"100","MST"
"Pernambuco","Petrolina","Fazenda Aracatu","13/04/2008",,"200","MST"
"Pernambuco","Quipapá","Engenho Rio Branco","30/03/2008","350","80","Fetraf"
"Pernambuco","Santa Maria da Boa Vista","Fazenda Poço do Icó","14/04/2008",,"110","Fetraf"
"Pernambuco","Santa Maria da Boa Vista","Fazenda Planalto","14/04/2008",,"112","Fetraf"
"Pernambuco","Santa Maria da Boa Vista","Fazenda Iracema","06/04/2008",,"102","Fetraf"
"Pernambuco","Santa Maria da Boa Vista","Fazenda Iracema II","06/04/2008",,"105","Fetraf"
"Pernambuco","Santa Maria da Boa Vista","Fazenda Iracema III","06/04/2008",,"100","Fetraf"
"Pernambuco","Santa Maria da Boa Vista","Fazenda Catolé","06/04/2008",,"116","Fetraf"
"Pernambuco","Santa Maria da Boa Vista","Fazenda Porto","13/04/2008",,"300","MST"
"Pernambuco","São Joaquim do Monte","Faz. Sta. Maria/Consulta","13/04/2008","2045","180","MST"
"Pernambuco","São Joaquim do Monte","Faz. Jaboticaba/4 Irmãos","26/10/2008",,"80","MST"
"Pernambuco","São José do Belmonte","Fazenda Baixa Grande","12/04/2008",,"160","MST"
"Pernambuco","São José do Egito","Fazenda Poço de Dica","18/10/2008",,"25","CPT"
"Pernambuco","São José do Egito","Fazenda Melancia","14/04/2008",,"150","MST"
"Pernambuco","Serra Talhada","Fazenda Tiú","13/04/2008",,"80","MST"
"Pernambuco","Sertânia","Fazenda Jatobá","17/03/2008",,"25","CPT"
"Pernambuco","Sertânia","Faz. Arizona/Sítio Pinheiro","13/10/2008",,"27","CPT"
"Pernambuco","Sertânia","Fazenda Jatobá I","07/09/2008",,"30","CPT"
"Pernambuco","Sertânia","Área da Compesa","03/11/2008",,"25","CPT"
"Pernambuco","Timbaúba","Engenho Várzea Nova","12/04/2008","1200","140","MST"
"Rio de Janeiro","Campos dos Goytacazes/Rio deJaneiro","Faz. São Cristóvão/Acamp. 17 de Abril","19/04/2008",,,"MST"
"Rio de Janeiro","Campos dos Goytacazes/Rio deJaneiro","Faz. São Cristóvão/Acamp. 17 de Abril","12/05/2008","458","230","MST"
"Rio Grande do Norte","Mossoró","Faz. Maísa/Assent. Eldorado dos Carajás II","08/03/2008","2400","490","MST"
"Rio Grande do Sul","Barra do Ribeiro/Canguçu","Área da  Aracruz Celulose","21/05/2008",,"60","MST"
"Rio Grande do Sul","Canguçu","Fazenda São João da Armada","08/09/2008","1100","200","MST"
"Rio Grande do Sul","Coqueiros do Sul","Faz. Guerra/Coqueiros","14/01/2008","7000","300","MST"
"Rio Grande do Sul","Guaíba","Faz. Finca/Juan Carlos Abadia","21/01/2008","129","300","MST"
"Rio Grande do Sul","Herval","Fazenda da Votorantim","11/06/2008",,"40","MPA/ MST"
"Rio Grande do Sul","Nova Santa Rita","Granja Nenê","18/02/2008",,,"MST"
"Rio Grande do Sul","Nova Santa Rita","Granja Nenê","27/02/2008",,,"MST"
"Rio Grande do Sul","Nova Santa Rita","Granja Nenê","22/09/2008","1500","400","MST"
"Rio Grande do Sul","Piratini","Faz. Santa Maria/Votorantim","11/06/2008",,,"Via Campesina"
