Municípios,Nome do Lugar,Data,Famílias,Tipo do Conflito,Situação do Conflito,,
Subtotal:,2,,3420,,,,
São Paulo,,,,,,,
Iporanga/ Ribeira/ Itaoca,Barragem do Tijuco Alto,12/03/2008,558,Barragens e Açudes,"Ameaça deexpropriação",,
Subtotal:,1,,558,,,,
Tocantins,,,,,,,
Babaçulândia,Comunidade da Ilha de São José,08/06/2008,18,Uso e preservação,"Diminuição doacesso à Água",,
Darcinópolis,"Assent. Formosa/Valec-Ferrovia NorteSul",08/06/2008,56,Barragens e Açudes,"Diminuição doacesso à Água",,
Darcinópolis,"Barra do Coco/Valec/Ferrovia NorteSul",08/06/2008,4,Barragens e Açudes,"Diminuição doacesso à Água",,
Darcinópolis,"ComuniddaeMacambira/Valec/Ferrovia Norte Sul",08/06/2008,8,Barragens e Açudes,"Diminuição doacesso à Água",,
Darcinópolis/ Babaçulândia,Brejão/Valec-Ferrovia Norte Sul,08/06/2008,10,Barragens e Açudes,"Diminuição doacesso à Água",,
Subtotal:,5,,96,,,,
Total:,46,,27156,,,,
Municípios,Nome do Lugar,Data,Famílias,Tipo do Conflito,Situação do Conflito,,
Amapá,,,,,,,
Macapá,Lagoa dos Índios,01/01/2009,,Apropriação Particular,"Destruição e oupoluição",,
Pedra Branca do Amapari,Igarapé William/São Domingos,01/01/2009,20,Apropriação Particular,"Destruição e oupoluição",,
Subtotal:,2,,20,,,,
Amazonas,,,,,,,
Careiro,T.I. Boa Vista,31/12/2009,,Uso e preservação,Pesca predatória,,
Manaus/ Careiro,"Lago do Mamori/Lago do Mira/Com.São José",26/06/2009,85,Uso e preservação,Pesca predatória,,
Novo Airão,"Resex Baixo Rio Branco-Jauaperi/Com. Gaspar e Itaquera",10/09/2009,120,Uso e preservação,Divergência,,
Subtotal:,3,,205,,,,
Bahia,,,,,,,
Casa Nova,Mulungu,01/07/2009,30,Apropriação Particular,"Impedimento deacesso à água",,
Mascote,"Rio Inhumas/Rio Caboclo/Faz.Quebrado",25/08/2009,1200,Uso e preservação,"Destruição e oupoluição",,
Subtotal:,2,,1230,,,,
Ceará,,,,,,,
Amontada,"Com. Caetanos de Cima/Assent.Sabiaguaba",29/10/2009,300,Apropriação Particular,"Impedimento deacesso à água",,
Icapuí,Praia da Redonda/Barrinha e outras,14/11/2009,,Uso e preservação,Pesca predatória,,
Itapipoca,P.A. Maceió,06/02/2009,800,Apropriação Particular,"Impedimento deacesso à água",,
Itarema/ Itapipoca,"T.I. Tremembé/Emp. Espanhola NovaAtlântida",04/04/2009,100,Apropriação Particular,"Impedimento deacesso à água",,
"Limoeiro do Norte/ MoradaNova","Projeto de Irrigação Tabuleiro doRussa/Dnocs",29/11/2009,300,Barragens e Açudes,Divergência,,
Subtotal:,5,,1500,,,,
Maranhão,,,,,,,
Arari,Povoado Pedrinhas,13/11/2009,7,Apropriação Particular,"Destruição e oupoluição",,
Estreito,Usina Hidrelétrica de Estreito,09/10/2009,500,Barragens e Açudes,"Não cumprimento deprocedimentos legais",,
Serrano do Maranhão,"Com. Quilombolas Cedro, Sta.Filomena, Ponta/Curral Grande",14/07/2009,100,Apropriação Particular,"Impedimento deacesso à água",,
Subtotal:,3,,607,,,,
Mato Grosso,,,,,,,
