Municípios,Nome do Imóvel Ocupado,Data,Área,Famílias,Organização
Jaguaquara,Fazenda Santo Amaro,3/4/2011,800,80,MST
Jeremoabo,Fazenda Estrelinha,25/4/2011,,100,MST
Juazeiro,Área do Projeto de Irrigação Salitre/PAC,3/4/2011,30000,200,MST
Juazeiro,Fazenda Mariad I,3/4/2011,203,400,MST
Jucuruçu,Fazenda Itauboi,3/4/2011,1500,200,MST
Jucuruçu,Fazenda Reunidas,2/4/2011,2000,200,MST
Mascote,Fazenda Guanabara,27/6/2011,280,20,Ceta
Mata de São João,Fazenda Reunidas Santo Antônio,24/7/2011,,100,MST
Mucuri,Fazenda das Pedras,8/4/2011,3000,150,MST
Nilo Peçanha,Fazenda Mutupiranga,2/4/2011,1100,80,MST
Poções,Fazenda Santa Rosa,3/4/2011,,50,MST
Porto Seguro,Veracel,2/4/2011,,250,MST
Queimadas,Fazenda Horizonte Novo,25/4/2011,,100,MST
São Sebastião do Passé,Fazenda Pouco Ponto,2/4/2011,,120,MST
Sátiro Dias,Fazenda Boa Sorte,3/4/2011,,100,MST
Teixeira de Freitas,Fazenda Nova Esperança,2/4/2011,1200,250,MST
Teolândia,Fazenda Águas Claras,2/4/2011,,200,MST
Subtotal:,39,,55943,7337,
Ceará,,,,,
Crateús,Fazenda Curralinho,11/4/2011,,100,MST
Mauriti,Fazenda Gravatá,4/4/2011,1000,100,MST
Tamboril,Fazenda São Paulo,11/4/2011,,100,MST
Tamboril,Fazenda São Pedro,11/4/2011,,100,MST
Subtotal:,4,,1000,400,
Distrito Federal,,,,,
Municípios,Nome do Imóvel Ocupado,Data,Área,Famílias,Organização
Subtotal:,1,,4000,300,
Goiás,,,,,
Acreúna,Fazenda Santa Fé,30/9/2011,,80,MST
Doverlândia,Fazenda Asa Branca,23/9/2011,,31,Fetraf
Santo Antônio da Barra,Fazenda Lage da Capivara,17/11/2011,1000,,Terra Livre
Subtotal:,3,,1000,111,
Maranhão,,,,,
Tufilândia,Área no Povoado Pimenta,7/1/2011,,60,ATR
Subtotal:,1,,0,60,
Mato Grosso,,,,,
"Alto da Boa Vista/São Félix doAraguaia",T. I. Marãiwatsedé/Xavante/Faz. Suiá-Missu,9/5/2011,165000,40,Índios
Cáceres,Fazenda Nova Mutum,14/6/2011,,,MST
Cáceres,Fazenda Nova Mutum,17/10/2011,2800,650,MST
Cáceres,Fazenda Rancho Verde,14/6/2011,,100,MST
Colniza,Fazenda Bauru,4/6/2011,,10,SI
Subtotal:,5,,167800,800,
Mato Grosso do Sul,,,,,
Amambaí/Ponta Porã,Acamp. Tekoha Guaiviry/MS-386,1/11/2011,,60,Índios
Douradina,"Área Próxima às Aldeias Lagoa Rica ePanambi/Acamp. Ita'y Ka'aguyrusu",27/5/2011,2000,73,Índios
Iguatemi,Fazenda Piray,17/3/2011,2040,120,Fetagri
Itaquiraí,Fazenda Mestiço,14/10/2011,,240,MST
Miranda,Faz. Petrópolis/T. I. Cachoeirinha,4/4/2011,,100,Índios
Miranda,Fazenda Charqueado,4/4/2011,,100,Índios
Rio Brilhante,"Faz. Sto.  Antônio da Nova Esperança/Com.Laranjeira Nhanderu",15/5/2011,450,80,Índios
Sidrolândia,Fazenda 3R,12/5/2011,,200,Índios
Subtotal:,8,,4490,973,
Minas Gerais,,,,,
Bocaiúva,Faz. Malvina/Assent. Betinho,3/2/2011,,35,SI
Campo do Meio,"Faz. Ariadnópolis/Acamp. Ir. Dorothy/Vitória daConquista",21/2/2011,6000,180,MST
Engenheiro Navarro,Fazenda Duas Barras,9/2/2011,,72,MST
Manga/Matias Cardoso,Ilha de Pau Preto/Rio São Francisco,24/7/2011,,105,SS
Prata/Uberlândia,Fazenda Douradinho,21/1/2011,1200,24,MLST
"São João daPonte/Varzelândia/Verdelândia","Brejo dos Crioulos/Araruba/S.Miguel/Aparecida/Venever/Arapuã/Lagoa daVaranda",10/9/2011,17032,150,Quilombolas
Uberaba,Fazenda Inhumas,26/2/2011,822,200,SS
Uberlândia,Fazenda na MG-455,13/5/2011,,60,SI
Vazante,Fazenda Lavado,18/9/2011,,60,MST
Veríssimo,Fazenda Colinas,19/3/2011,,200,Fetaemg
Subtotal:,10,,25054,1086,
Pará,,,,,
Anapu,"Gl. Belo Monte/PDS Virola Jatobá/L. 131/IrmãosTrindade",30/9/2011,3000,50,ATR
Anapu,Gl. Manduacari/Lote 2,30/1/2011,3000,42,ATR
Anapu,Gl. Bacajá/Lote 86 de Peixoto,11/12/2011,2000,16,ATR
Anapu,Gl. Bacajá/PDS Esperança/Lt. 68,31/5/2011,3000,50,ATR
Anapu,P. A. Bom Jardim,31/5/2011,3000,23,ATR
Anapu,Gl. Belo Monte/Lote 125/Rio Areia,31/1/2011,3000,50,ATR
Conceição do Araguaia,Fazenda Bom Jardim,10/10/2011,1500,55,ATR
Eldorado dos Carajás,Faz. Nova Era/Esplanada,23/8/2011,,150,MST
Marabá,Fazenda Mutamba,7/10/2011,2500,78,OI
Marabá,"Faz. Ponta da Serra/Mururé/Pequizeiro/Acamp.Darci Ribeiro",23/8/2011,4500,154,MST
Marabá,Faz. Pioneira/Cosipar,9/10/2011,4800,110,SI
São Félix do Xingu,Faz. Jaguara/Belauto,25/2/2011,,70,STR
São João do Araguaia,Fazenda Retiro,24/8/2011,,35,Fetraf
Tomé-Açu,Fazenda Mancha Negra,17/5/2011,,50,STR
Tucumã,Faz. Taomé/Calmer,23/8/2011,,58,MST
Subtotal:,15,,30300,991,
Paraíba,,,,,
Alhandra/Conde/Pitimbu,"Destilaria Tabu-Grupo João Santos/Emp.Elizabethy/T. I. Tabajara",9/11/2011,10000,100,Índios
,Área em Bonito de Santa Fé,10/4/2011,3330,50,MST
Municípios,Nome do Imóvel Ocupado,Data,Área,Famílias,Organização
Jericó,Área em Jericó,11/4/2011,,300,MST
Juru,Área em Juru,12/4/2011,,60,MST
Marcação/Rio Tinto,T. I. Jacaré de São Domingos/Monte-Mor/Potyguara,25/8/2011,7487,100,Índios
Pitimbu,João Gomes/Grande Mucatu/Emp. Elizabeth,13/6/2011,,40,CPT
Subtotal:,6,,20817,650,
Paraná,,,,,
Alvorada do Sul,Faz. Palheta/Atalla,5/3/2011,,30,Contag
Subtotal:,1,,0,30,
Pernambuco,,,,,
Água Preta/Joaquim Nabuco,Engenho Brasileirinho,17/4/2011,,170,MST
Água Preta/Maraial/Xexéu,Fazenda Cavaco,20/9/2011,500,50,Fetape
Altinho,Fazenda Serro Azul,17/4/2011,,,MST
Altinho,Fazenda Serro Azul,21/8/2011,,100,MST
Bezerros,Fazenda Reunida Santa Rosa,16/4/2011,,40,MST
Buíque/Ibimirim,T. I. Kapinawá,11/8/2011,,600,Índios
Floresta,Fazenda Sertaneja,19/4/2011,,120,MST
Granito,Fazenda Santa Tereza,17/4/2011,,60,MST
Iati,Faz. Juçara/Jussara,19/4/2011,,50,MST
Ibimirim,Fazenda Serra Verde,19/4/2011,,200,MST
Igarassu,Fazenda Mangabeira,17/4/2011,,70,MST
Inajá,Fazenda Geraldo Bulhões,16/4/2011,,300,MST
Inajá,Fazenda Barro Branco,19/4/2011,,100,MST
Itamaracá,Fazenda São João,21/6/2011,,,MST
Itambé,Engenho Paraguaçu,16/4/2011,,80,MST
Jaqueira,Fazenda Guerra,1/5/2011,,40,MST
Jataúba,Fazenda Balame,12/3/2011,12500,350,MST
Lagoa Grande,Faz. Várzea Grande/Sítio Traíra,19/4/2011,,50,MST
Passira,Fazenda Taquari,6/2/2011,,40,MST
Pesqueira,Fazenda Ipiranga,5/3/2011,,63,MST
Petrolândia,T. I. Pankararu/Faz. do Sr. Dimas,14/9/2011,8100,100,Índios
Petrolina,Área no Proj. Pontal Sul,23/8/2011,,500,Via Campesina
Petrolina,Fazenda da Empresa Copa Fruit,7/8/2011,489,150,MST
Petrolina,Fazenda Califórnia do Nordeste,16/4/2011,,900,MST
Sairé,Fazenda Santa Zélia,15/4/2011,,80,MST
São Bento do Una,Faz. Santa Rita/Caracol,14/4/2011,2500,80,MST
São Joaquim do Monte,Faz. Sta. Maria/Consulta,21/8/2011,2045,70,MST
São José do Belmonte,Fazenda Baixa Verde,7/8/2011,,110,MST
Serra Talhada,Fazenda Quixadá,19/4/2011,,100,MST
Sertânia,Fazenda Nossa Senhora do Carmo,17/4/2011,1123,80,MST
Sertânia,Fazenda Juá,14/5/2011,5500,25,MST
Subtotal:,31,,32757,4678,
Rio Grande do Sul,,,,,
Cacique Doble/Sananduva,T. I. Passo Grande da Forquilha/Kaingang,11/6/2011,,8,Índios
Charqueadas,Faz. Charqueadas/Col. Penal/Assent. 30 de Maio,7/10/2011,1200,200,MST
Coqueiros do Sul,Faz. Guerra/Coqueiros,12/4/2011,7000,120,MAB/ MST
Eldorado do Sul,Área da Fepagro,24/10/2011,480,30,MST
Lagoa Vermelha/Sananduva,Faz. Três Pinheiros/Granja Três Pinheiros,3/10/2011,1500,40,MST
Sananduva,Fazenda Bela Vista,26/9/2011,500,40,MST
Santa Maria,Acamp. Indígena Ketyjug Tentu/Kaingang,5/12/2011,13,13,Índios
São Borja,Fazenda Palermo,21/3/2011,1200,400,MST
Vacaria,Área da Fepagro,26/9/2011,,100,MST
Viamão,"Faz. próximo ao Posto de Pedágio ÁguasClaras/RS-040",26/9/2011,600,200,MST
Subtotal:,10,,12493,1151,
Rondônia,,,,,
Chupinguaia,"Faz. Bodanese/Acamp. Barro Branco/Lotes 16 e17/Setor 06",24/6/2011,,89,STR
Subtotal:,1,,0,89,
Santa Catarina,,,,,
Cerro Negro,Área em Umbu/Acamp. Terra Nova,13/6/2011,,120,MAB/ MST
Chapecó,Linha Gamelão/Índios Kaingang,13/5/2011,,30,Índios
Curitibanos,Fazenda Xaxim,14/4/2011,,150,MST
Mafra,Fazenda Batatais,14/4/2011,600,100,MST
Major Vieira,Fazenda Toldo de Cima,20/11/2011,500,150,MST
Subtotal:,5,,1100,550,
São Paulo,,,,,
,Faz. Nossa Sra. Aparecida/Geada,16/4/2011,,,MST***
Municípios,Nome do Imóvel Ocupado,Data,Área,Famílias,Organização
Altair,Fazenda São José,6/11/2011,1360,80,MST
Americana,Sítio Boa Vista/Usina Ester,6/8/2011,,,MST
Americana,Sítio Boa Vista/Usina Ester,10/9/2011,80,100,MST
Araçatuba,Fazenda Santa Cecília,15/4/2011,1680,70,MST
Araçatuba,Fazenda Santa Maria,16/4/2011,,,MST***
Avaré,Faz. Tarsul/Ind. Eucatex,7/2/2011,380,70,RL*
Birigüi/Brejo Alegre,Fazenda Pau d'Alho,16/4/2011,726,,MST***
Borebi,Fazenda Ipiranga,26/9/2011,,100,MST
Cafelândia,Fazenda Chapadão da Santa Rita,6/1/2011,,200,MST***
Cafelândia,Fazenda Bertazoni,6/1/2011,,40,MST***
Caiuá,Fazenda Três Sinos,15/1/2011,,60,"CUT/ Feraesp/MAST/ MLST/MST***/ MTST*/STR/ Uniterra"
Castilho,Fazenda Rancho Alegre,7/1/2011,500,300,MST
Dracena,Fazenda Santo Antônio,9/4/2011,968,,MST***
Dracena,Fazenda das Cobras/Cobra,9/4/2011,550,,MST***
Dracena,Fazenda Vista Alegre,9/4/2011,,,MST***
Dracena,Fazenda Turmalina,9/4/2011,,,MST***
Emilianópolis,Faz. Boa Vista/Bela Vista,15/1/2011,,60,"CUT/ Feraesp/MAST/ MLST/MST***/ MTST*/STR/ Uniterra"
Iacri,Fazenda Santo Antônio,17/11/2011,,,MST***
Iepê,Fazenda São Benedito,25/9/2011,,7,MST***
Itapetininga,Fazenda Pedra Branca,16/4/2011,,,MST***
Itapetininga,Fazenda Barro Branco,18/4/2011,12000,250,MST
Lucélia,Fazenda Salto Botelho,16/4/2011,,,MST***
Marabá Paulista,Fazenda Nazaré,7/10/2011,5200,80,MST
Panorama,Fazenda Guiomar,15/1/2011,720,60,"CUT/ Feraesp/MAST/ MLST/MST***/ MTST*/STR/ Uniterra"
Parapuã,Fazenda Liberdade,17/11/2011,,,MST***
Parapuã,Faz. Granja Experimental,17/11/2011,,,MST***
Paulicéia,Fazenda Corpus Christi,10/4/2011,,,MST
Paulistânia,Fazenda Tropical,8/5/2011,,8,MST
Pereira Barreto,Fazenda Maria Ofélia,15/4/2011,,24,MST
Pirajuí/Presidente Alves,Destilaria Guaricanga/BR Limitada,16/4/2011,,410,MST
Presidente Bernardes,Fazenda Oito e Meio,15/1/2011,,85,"CUT/ Feraesp/MAST/ MLST/MST***/ MTST*/STR/ Uniterra"
Presidente Bernardes,Faz. Guarani/Guaranizinho,16/1/2011,677,10,MST***
Presidente Epitácio,Fazenda Santo Antônio,15/1/2011,,60,"CUT/ Feraesp/MAST/ MLST/MST***/ MTST*/STR/ Uniterra"
Queirós,Fazenda Santa Bárbara,15/1/2011,,20,MST***
Rancharia,Fazenda Santa Maria,23/9/2011,,16,MST***
Rinópolis,Fazenda Pauliceia,17/1/2011,,70,MST***
Rinópolis,Fazenda Leonilda,2/4/2011,,36,MST***
Rinópolis,Fazenda Dona Elizabete,17/11/2011,,,MST***
Sandovalina,"Faz. São Domingos/Acamp. Pe. Josimo/UHE deTaquaraçu",15/4/2011,3200,280,MST
Santo Antônio do Aracanguá,Fazenda São Pedro de Aracanguá,31/1/2011,730,20,MST***
Serrana,Fazenda Martinópolis,6/1/2011,,70,MST
Teodoro Sampaio,Gleba Ribeirão Bonito,16/4/2011,,,MST***
Teodoro Sampaio,Fazenda Galpão de Zinco,9/4/2011,,,MST***
Teodoro Sampaio,Fazenda Copacabana,9/4/2011,,,MST***
Teodoro Sampaio,Fazenda São José,9/4/2011,1000,,MST***
Teodoro Sampaio,Fazenda Timburi,9/4/2011,,,MST***
Teodoro Sampaio,Fazenda Lago Azul,9/4/2011,,,MST***
Teodoro Sampaio,Fazenda Pontal Agropecuária,9/4/2011,,,MST***
Teodoro Sampaio,Fazenda Minerva,16/4/2011,,,MST***
Tupã,Fazenda Altamira,17/11/2011,,,MST***
Subtotal:,51,,29771,2586,
Municípios,Nome do Imóvel Ocupado,Data,Área,Famílias,Organização
Palmas,Fazenda Santa Rita,17/10/201,4800,200,MST
Porto Nacional,Faz. Dom Augusto/Acamp. Sebastião Bezerra,21/4/201,3000,300,Via Campesina
Subtotal:,2,,7800,500,
