Municípios,Nome do Imóvel Ocupado,Data,Área,Famílias,Organização
Alagoas,,,,,
"Joaquim Gomes/Matriz doCamaragibe",Fazenda São Vicente,13/2/2011,130,20,MLST
Maragogi,Fazenda Teste,10/10/2011,345,60,MST
Maragogi,"Faz. Cachoeira/Us. Sta. Maria/Acamp. Patativa doAssaré",31/1/2011,,80,MST
Palmeira dos Índios,T. I.  Xucuru-Kariri/Faz. Canto,31/10/2011,800,100,Índios
Piranhas,Fazenda Luís Xavier,18/4/2011,2500,150,MST
São José da Tapera,Fazenda Padre Cícero,17/2/2011,130,21,MST
São Sebastião,T. I. Karapotó-Guariri/Faz. Sta. Izabel II,25/4/2011,76,60,Índios
Subtotal:,7,,3981,491,
Bahia,,,,,
Alcobaça,Fazenda São Bernardo,2/4/2011,900,200,MST
Cafarnaum,Fazenda Onça,3/4/2011,,350,MST
Camacan,Fazenda Sapucaia,2/4/2011,,120,MST
Camaçari,Fazenda Avestruz,12/4/2011,,200,MST
Camamu,Faz. Culturosa/Cultrosa,2/4/2011,2500,300,MST
Casa Nova,Fazenda Língua de Vaca,3/4/2011,,100,MST
Encruzilhada,Fazenda Jabutelho,3/4/2011,,60,MST
Eunápolis,Faz. Nova América/Veracel Celulose,3/4/2011,1200,400,MST
Feira de Santana,Ocup. de Área Estadual/Beira do Rio Jacuípe,2/4/2011,1500,400,MST
Feira de Santana,"Quil. Lucas da Feira/Área da Antiga EmpresaAlimba",23/4/2011,,87,Quilombolas
Gandu,Faz. Conjunto Reunida/Cachoeira/Secasa,2/4/2011,,100,MST
Guaratinga,Fazenda Conjunto Guarani,12/4/2011,,200,MST
Guaratinga,Fazenda Vitória,2/4/2011,,200,MST
Iramaia,Fazenda Cachoeira,2/4/2011,,200,MST
Iramaia,Fazenda Onça,2/4/2011,,200,MST
Iramaia,Fazenda Jequirmirin,2/4/2011,,200,MST
Itabela,Faz. Conjunto Muqui/Veracel Celulose,3/4/2011,6800,450,MST
Itajuípe,Fazenda Rapa Pau,5/4/2011,700,200,MST
Itamaraju,Fazenda Toca da Onça,26/7/2011,1400,300,MST
Itamaraju/Prado,Faz. Cutia/Fíbria Celulose,3/4/2011,860,150,MST
Itambé/Vitória da Conquista,Área às margens da BA-263,2/10/2011,,120,MTD
Itapetinga,Fazenda Jiru,3/4/2011,,200,MST
