Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Aquidauana,Faz. Touro/T. I. Taunay Ipegue,13/05/2016,,40,Índios
Aquidauana,Faz. Água Branca/T. I. Taunay Ipegue,13/05/2016,,40,Índios
Aquidauana,Faz. Ipanema/T. I. Taunay Ipegue,13/05/2016,,40,Índios
Aquidauana,Faz. Pedrão/T. I. Taunay Ipegue,13/05/2016,,40,Índios
Aquidauana,Faz. Santa Fé/T. I. Taunay Ipegue,13/05/2016,,40,Índios
Aquidauana,Faz. Funil/T. I. Taunay Ipegue,13/05/2016,2561,40,Índios
Aquidauana,Faz. Capão das Araras/T. I. Taunay Ipegue,13/05/2016,2482,40,Índios
Aquidauana,2 Fazendas/T. I. Taunay Ipegue,11/05/2016,,,Índios
Aquidauana,Faz. Pé de Cedro/T. I. Taunay Ipegue,11/05/2016,,30,Índios
Aquidauana,Faz. Nova Bahia/T. I. Taunay Ipegue,11/05/2016,,30,Índios
Aquidauana,Faz. Santa Laura/T. I. Taunay Ipegue,11/05/2016,,60,Índios
Caarapó,"T. I. Pindo Roky/Itaguá/Retomada das Mães/Faz.Novilho/T. I. Dourados Amambai Peguá",12/06/2016,,,Índios
Caarapó,"Faz. Yvu/Ivu/Tekoha Torapaso/T. I. DouradosAmambai Peguá",12/06/2016,,100,Índios
Caarapó,"Faz. Santa Maria/Tekoha Toropaso/T. I. DouradosAmambai Peguá",12/06/2016,,,Índios
Dourados,"15 Sítios Retomados/Imediações das AldeiasBororo e Jaguapiru",05/03/2016,,30,Índios
Dourados/Itaporã,Tekoha Ita Poty/Faz. Cristal,12/03/2016,,60,Índios
Juti,"T. I. Guarani-Kaiowá/Aldeia Taquara/Faz. Brasíliado Sul",13/01/2016,9752,80,Índios
Mundo Novo,"Refúgio Binacional de Maracaju/Área da ItaipuB  in a c  io n a  l",18/01/2016,,700,"FNL/ MAC/ MAF/MTR"
Ribas do Rio Pardo,Fazenda Carolina,20/03/2016,,300,MSTB
Rio Brilhante,Fazenda Santa Inez/Inês,23/11/2016,,30,MSTB
Subtotal:,22,,16976,1750,
Minas Gerais,,,,,
Almenara,Faz. Marobá/Com. Quil. Marobá dos Teixeira,22/03/2016,3165,13,Quilombolas
,Fazenda Pedra Negra,25/10/2016,11800,150,MST
Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Brasilândia de Minas,Fazenda Brejão/Vallourec,25/07/2016,,100,MST
Campo do Meio,"Faz. Ariadnópolis/Acamp. Ir. Dorothy/Vitória daConquista",20/05/2016,6000,98,MST
Canápolis,Área da Us. Triaálcool,02/09/2016,,100,MST/ STR
Canápolis,Faz. Germina/Us. Triaálcool,31/07/2016,,,MST/ STR
Canápolis,Faz. Germina/Us. Triaálcool,11/09/2016,,100,MST/ STR
Governador Valadares,Fazenda Eldorado,01/02/2016,,,MST
Governador Valadares,Fazenda Eldorado,26/08/2016,718,100,MST
Grão Mogol,"Faz. Rio Rancho/Buriti Pequeno/Com. Geraizeirosdo Vale das Cancelas",13/11/2016,6434,120,MAB
Itacarambi,Com. Vazanteira Barrinha/Rio São Francisco,31/08/2016,,13,Quilombolas
Januária,Com. Quil. Croatá/Rio São Francisco,13/05/2016,541,65,Quilombolas
Manga,Fazenda Marilândia,02/04/2016,1448,84,Quilombolas
Pedras de Maria da Cruz,"Com. Quil. Caraíbas/Faz. Pedra de São JoãoAgrop.",14/01/2016,,35,MPP
Pedras de Maria da Cruz,Faz. Pioneira e Boa Vista/Com. Caraíbas,20/06/2016,,60,LCP
Periquito,"Faz. Confinamento/Pedra Corrida/Acamp.Liberdade",26/09/2016,16000,200,MST
Subtotal:,16,,46106,1238,
Pará,,,,,
Anapu,Gl. Bacajá/Lote 44/Faz. Sta. Maria,22/03/2016,,41,OI
Anapu,Gl. Bacajá/Lote 46/ Faz. Sta. Rita,22/03/2016,,48,OI
Floresta do Araguaia,Fazenda Morro Verde,31/05/2016,,30,STR
Goianésia do Pará,Faz. Água Fria/Acamp. Deus Proverá/Km 28,31/01/2016,,5,OI
Subtotal:,4,,0,124,
Paraíba,,,,,
João Pessoa,"Faz. Reunidas/Granja Mimosa/ValeEncantado/Granja 20",20/12/2016,150,50,STR
Subtotal:,1,,150,50,
Paraná,,,,,
Flor da Serra do Sul,Fazenda Camiotti,30/04/2016,,20,MST
Guaíra,Aldeia Tekohá Mirim/T. I. Guarani,06/06/2016,,7,Índios
Jundiaí do Sul,Fazenda Monte Verde,23/01/2016,1570,30,MAST
Santa Terezinha de Itaipu,Faz. Santa Maria/Acamp. Sebastião Camargo,18/03/2016,1750,2000,MST
Subtotal:,4,,3320,2057,
Pernambuco,,,,,
Custodia,Fazenda Poço Escuro,15/03/2016,,120,CPT
Sertânia,Faz. Boa Vista/VPR Salão,10/04/2016,,100,CPT
Sertânia,Fazenda Fortaleza,07/09/2016,,,CPT
Sertânia,Fazenda Fortaleza,18/12/2016,,100,CPT
Subtotal:,4,,0,320,
Rio Grande do Norte,,,,,
Caicó,Acamp. Dandara/Emp. Agropecuária do RN,02/02/2016,,150,MST
Subtotal:,1,,0,150,
Rio Grande do Sul,,,,,
Cacique Doble/Sananduva,T. I. Passo Grande do Rio Forquilha/Kaingang,10/11/2016,2000,40,Índios
Charqueadas,Área do Horto Florestal/CEEE,14/11/2016,920,500,MST
Eldorado do Sul,Fazenda Tio Faustino,26/04/2016,399,87,MST
Lagoa Vermelha,Fazenda Gazola,14/03/2016,500,100,MAB/ MST
Mato Castelhano,T. I. Fág Ty Ka/Kaingang,13/04/2016,23836,15,Índios
São Gabriel,Com. Batovi/Acamp. na ERS-630,14/05/2016,,100,MST
Vacaria,Área da Conab,28/04/2016,360,80,MST
Vicente Dutra,T. I. Rio dos Índios/Kaingang,27/07/2016,,48,Índios
Subtotal:,8,,28015,970,
Rondônia,,,,,
Ariquemes,Fazenda São Marcos,11/08/2016,,15,LCP
Candeias do Jamari,Faz. Três Casas/UHE de Samuel,06/07/2016,1028,100,MAB
Chupinguaia,"Faz. Dois Pinguins/Caramello/Assoc. IgarapéÁgua Viva",25/09/2016,,20,SI
Cujubim,"Acamp. Terra Nossa/Faz. Tucumã/LinhaC-114/Faz. do Japonês",20/02/2016,,30,LCP
Cujubim,Faz. Paraíso/Linha MC-7/Ramal Atalaia,17/11/2016,,31,SI
Ji-Paraná,"Agrop. Amaralina/Faz. SantaDominique/Natalie/Acamp. Jhone Santos",12/04/2016,,300,LCP
Ji-Paraná,Chácara Próxima ao Aeroporto,30/10/2016,,,SI
,Fazenda Santa Aline,14/04/2016,,20,LCP
Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Mirante da Serra,"Linha 76 a 81/Km 11/Lote 62-A/Acamp. FidelCastro 2/Faz. Boitenta",11/06/2016,1290,170,SI
Monte Negro,Fazenda Santa Helena,13/04/2016,,,SI
Ouro Preto do Oeste,Lote na RO-473,04/10/2016,,,SI
Porto Velho,"Faz. Bom Futuro/Área do Conti/Distrito de UniãoBandeirantes",01/04/2016,26000,15,OI
Porto Velho,Faz. Morro Vermelho/Acamp. Egídio Bruneto,19/09/2016,4000,64,MST
Seringueiras,Faz. Bom Futuro/Acamp. Enilson Ribeiro,17/07/2016,11000,100,LCP
Vale do Paraíso,Faz. Triângulo/Trianon/Acamp. Monte Cristo,10/01/2016,11000,140,SI
Vilhena,"Gl. Corumbiara/Setor 12/Lote 52/Faz.Duarte/Assoc. Canarinho",01/07/2016,,50,ATR
Vilhena,Fazenda Vilhena do Pensamento,01/09/2016,40000,30,SI
Vilhena,Lote 73/Setor 17/Gl. Corumbiara/Acamp. Canário,31/07/2016,,,LCP
Subtotal:,18,,94318,1085,
Roraima,,,,,
Boa Vista,Faz. Brasilândia/Região do Bom Intento,14/06/2016,2400,25,OI
Subtotal:,1,,2400,25,
Santa Catarina,,,,,
Chapecó/Guatambu,Flona de Chapecó,04/06/2016,1573,500,MST
Faxinal dos Guedes/Xanxerê,"Faz. Chapecozinho II/Prezzotto Sementes/Acamp.Marcelino Chiarelo",22/08/2016,1067,300,MST
Lajeado Grande/Xanxerê,Faz. Agroeste/Monsanto,29/03/2016,366,30,MST
Monte Castelo,Industrial Fuck S/A,06/09/2016,4234,50,MST
Rio das Antas,"Faz. Bahia 2/Antiga Perdigão/Acamp. IratanRodrigues",15/04/2016,1230,200,MST
Zortéa,Fazenda Volta Grande,06/09/2016,800,50,MST
Subtotal:,6,,9270,1130,
São Paulo,,,,,
Águas de S. Bárbara,"Fazs. Lagoa Rica e Bom Retiro I e II/LwarcelCelulose",12/12/2016,,200,MRL
Alvinlândia,Fazenda Torrão de Ouro,03/09/2016,,,MST
Alvinlândia,Fazenda Torrão de Ouro,26/11/2016,,200,MST
Bauru,Faz. Sto. Antônio/Grupo Mondelli,10/06/2016,,,FNL
Bauru,Faz. Sto. Antônio/Grupo Mondelli,12/08/2016,900,100,FNL
Bauru,Faz. São Leopoldo/Grupo Mondelli,20/06/2016,,25,FNL
Duartina,Fazenda Esmeralda,09/05/2016,,250,MST
Duartina,Fazenda Esmeralda,15/05/2016,,225,FNL
Franca/Restinga,Fazenda Niagara,30/07/2016,,150,FNL
Itaberá/Itapeva,"Horto Florestal/Área às margens daSP-258/Acamp. Nova Esperança",05/09/2016,,60,MST
Itapetininga,"Faz. Agrícola da Escola Técnica Professor EdsonG a  lv ã o",02/07/2016,198,40,FNL
Itapetininga,Área da Sec. de Agricultura,03/07/2016,528,,FNL
Itirapina,Instituto Florestal/Estrada do Broa,02/09/2016,,162,FNL
Itirapina,Área nas proximidades de Ubá,05/10/2016,,162,FNL
Itirapuã,Fazenda Ouro Verde,11/09/2016,,50,MST
Jaú,Usina Lambari/Grupo Atalla,02/08/2016,,250,MST
Marabá Paulista,Fazenda Nazaré,16/01/2016,,,MST
Marabá Paulista,Fazenda Nazaré,01/04/2016,,,MST
Marabá Paulista,Fazenda Nazaré,02/05/2016,4850,50,MST
