Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Nova Viçosa,"Com. Quilombola Rio do Sul/Acamp. NelsonMandela",10/03/2014,,70,Quilombolas
Prado,T. I. Cahy-Pequi/Comexatiba,03/02/2014,50,80,Índios
Prado,Faz. Mucugê/T. I. Cahy Pequi,17/04/2014,50,100,Índios
Prado/Teixeira de Freitas,Faz. Santa Rita/Grupo Ju Ungro,28/03/2014,,,MST
Prado/Teixeira de Freitas,Faz. Santa Rita/Grupo Ju Ungro,05/07/2014,1400,240,MST
Vereda,Fazenda Revolta,30/05/2014,2200,15,MST
Subtotal:,17,,7316,1940,
Ceará,,,,,
"AltoSanto/Jaguaribe/Jaguaruana/Limoeiro do Norte/Quixerê",Proj. de Irrigação Jaguaribe-Apodi/PAC,05/05/2014,,800,MST/ STR
Ararendá,Fazenda Lindóia,18/02/2014,1100,60,MST
Crateús,Faz. Besouro/Barragem Fronteiras,24/04/2014,,70,MST
Itarema,Fazenda Viana,22/04/2014,499,100,MST
Quixeramobim,Fazenda Boa Vista,22/04/2014,1000,200,MST
Tamboril,Cacimba dos Moços/Faz. Timbó,24/04/2014,900,70,MST
Subtotal:,6,,3499,1300,
Distrito Federal,,,,,
Planaltina,"Faz. Sta. Isabel/Emp. Rural WhittmannAgropecuária Ltda",26/07/2014,,638,MST
Planaltina,Fazenda Três Pinheiros,03/08/2014,,300,MST
Planaltina,Faz. Chácara 39/Núcleo Rural Pipiripau,16/11/2014,,200,MST
Planaltina,Sítio Felicidade,16/11/2014,10,10,MBST
Planaltina,Laranjal próx. ao Sítio Felicidade,31/03/2014,,100,MBST
Subtotal:,5,,10,1248,
Espírito Santo,,,,,
Linhares,Faz. Volta Grande/Nossa Senhora da Conceição,01/06/2014,,110,MST
Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Goiás,,,,,
Corumbá de Goiás,Agropecuária Santa Mônica,31/08/2014,20000,3500,MST
Itauçu,Faz. Córrego Rico/Faz. do Estado,04/10/2014,730,120,Terra Livre
Santa Helena de Goiás,Faz. Ouro Branco/Us. Santa Helena,28/02/2014,3000,50,MST
Subtotal:,3,,23730,3670,
Mato Grosso,,,,,
Novo Mundo,Acampamento União Recanto,07/09/2014,,62,SI
São José dos Quatro Marcos,Fazenda União,08/08/2014,,20,SI
Sinop/Sorriso,Fazenda Maristela,18/10/2014,250,60,SI
União do Sul,"Faz. Mercedes I, II, III/Lote São Paulo e SãoPedro",12/07/2014,35000,120,MST
Subtotal:,4,,35250,262,
Mato Grosso do Sul,,,,,
Amambaí,Fazenda Barra Bonita,23/09/2014,,30,Índios
Amambaí/Coronel Sapucaia,"Faz. Madama/Kurussu Ambá/Acamp. às margensda MS-289",22/09/2014,2181,50,Índios
Aquidauana,Faz. Maria do Carmo/T. I. Taunay Ipegue,28/11/2014,,200,Índios
Caarapó,T. I. Pindo Roky/Retomada das Mães,04/08/2014,,50,Índios
Caarapó,Comunidade Tey'i Juçu,07/12/2014,,50,Índios
Dourados,Passo Piraju/Faz. Campo Belo,28/07/2014,900,8,Índios
Dourados,Área na BR-463,18/01/2014,,,SI
Iguatemi,Tekohá Mbaraka'y-Pyelito Kue/Guarani Kaiowá,12/02/2014,,50,Índios
Naviraí,T. I. Santiago Kue/Kurupi,21/09/2014,1800,13,Índios
Subtotal:,9,,4881,451,
Minas Gerais,,,,,
Bocaiúva,Área da União/Acamp. Professor Mazzan,30/01/2014,,60,MST
Bocaiúva,Faz. da Solidariedade Senhor do Bonfim,30/01/2014,,10,MST
Engenheiro Navarro,Fazenda Duas Barras,27/09/2014,,50,MST
Itacarambi,Ilha da Maria Preta,08/03/2014,,140,OI
Jampruca,Área da Empresa Celulose Fibria,04/05/2014,,200,MST
Januária,Com. Geraizeiras/Grupo Plantar/Grupo Rima,29/09/2014,20000,135,OI
Manga,Faz. Marilândia/Acamp. Valdir Júnior,30/04/2014,1448,110,LCP
Monte Alegre de Minas,Fazenda Palermo,01/01/2014,,10,
Paracatu/Unaí,Fazenda Próx. à BR-251,27/07/2014,,250,MST
Uberaba,"Acamp. às Margens daBR-050/Marimbondo/Taquara",29/03/2014,,20,MTR
Uberlândia,Chácara Recanto dos Ipês,31/03/2014,,14,MTR
Vazante,Faz. Renegado/Acamp. José Beraldo,14/04/2014,2000,80,MST
Verdelândia,"Com. Quil. Nativa do Arapuim/Faz. Torta MorroPreto/Brejo dos Crioulos",18/01/2014,,35,Quilombolas
Subtotal:,13,,23448,1114,
Pará,,,,,
Marabá,Faz. Boa Sorte/Boa Vista/Estrela Dalva,16/06/2014,2900,50,Fetagri/PA
Marabá,Faz. Pioneira/Cosipar,08/06/2014,4800,300,MST
Marabá,Faz. Santa Tereza/Acamp. Santa Ernestina,08/06/2014,,700,MST
São João do Araguaia,Fazenda Landi,27/07/2014,1800,3,SI
Xinguara,Fazenda Surubim,31/12/2014,,100,LCP
Subtotal:,5,,9500,1153,
Paraíba,,,,,
Aparecida/Sousa,"Proj. Irrigação das Várzeas de Sousa/Acamp.Nova Vida e Pau d' Arco",29/04/2014,1000,200,MST
Caaporã,"Acamp. Antônio Pinto/Parte do Eng. Retirada/Us.Maravilha",13/03/2014,,100,CPT
Casserengue,Fazenda Imbiguda,24/03/2014,,,MST
Casserengue,Fazenda Imbiguda,24/08/2014,2000,80,MST
Desterro,Faz. Malhada da Onça,20/07/2014,1343,56,MST
Mari,Fazenda Santo Antônio,23/11/2014,600,300,MST
Olho d`Água,Área em Olho d'Água,30/04/2014,740,50,MST
Santa Rita,"Faz. São Francisco do Grajaú/Us. SãoJoão/Acamp. 15 de Novembro",22/02/2014,,,CPT/ MST/ STR
Santa Rita,"Faz. São Francisco do Grajaú/Us. SãoJoão/Acamp. 15 de Novembro",15/03/2014,,,CPT/ MST/ STR
Santa Rita,"Faz. São Francisco do Grajaú/Us. SãoJoão/Acamp. 15 de Novembro",21/07/2014,,130,CPT/ MST/ STR
Soledade,Faz. Espírito Santo de Baixo/Chacína de Mari,15/01/2014,2000,70,MST
Subtotal:,11,,7683,986,
Paraná,,,,,
Guaíra,Aldeia Tekohá Yhovy/T. I. Guarani,03/11/2014,,10,Índios
Itaipulândia,Área do Estado/Tekoha Itacora/Avá-Guarani,31/05/2014,,15,Índios
Palmas,Faz. Sta. Maria/T. I. Kaingang,09/10/2014,9,40,Índios
Porecatu,Fazenda Porta do Céu/Atalla,03/03/2014,280,500,MST
Porecatu,Área de Antiga Usina,30/10/2014,,,MST
Quedas do Iguaçu,"Faz Rio das Cobras/Araupel/Acamp. Herdeiros daTerra 1o de Maio",16/07/2014,3500,1200,MST
Quinta do Sol,Fazenda Modelo,26/07/2014,36,25,MLT
Terra Roxa,"Aldeia Tekohá Yvyraty Porã/Faz. São Paulo/T. I.Guarani",17/08/2014,,40,Índios
Subtotal:,8,,38250,1830,
Pernambuco,,,,,
Água Preta,Engenho Arranca/Almecega,29/04/2014,,100,MST
Floresta,Fazenda Paus Preto,29/04/2014,,60,MST
Goiana,Eng. Belo Horizonte/Us. Maravilha,29/04/2014,,50,MST
Moreno,Engenho Moreno/Moreninho/Usina Auxiliadora,29/04/2014,,,MST
Moreno,Engenho Moreno/Moreninho/Usina Auxiliadora,17/05/2014,,350,MST
Nazaré da Mata/Timbaúba,Fazenda Várzea Grande,19/10/2014,,130,MST
Petrolândia,Fazenda Serra dos Papagaios,29/04/2014,,100,MST
Pombos,Engenho Cachoeira/Us. Nossa Senhora do Carmo,29/04/2014,,120,MST
São Lourenço da Mata,Eng. Curupati/Acamp. Maria Paraíba/Us. Bulhões,29/04/2014,,60,MST
Vitória de Santo Antão,Engenho São Francisco,29/04/2014,45,220,MST
Subtotal:,10,,450,1190,
Rio Grande do Norte,,,,,
João Câmara,Faz. Baixa Verde/Pecol Agropecuária,01/05/2014,80,60,MST
São Gonçalo do Amarante,Faz. Itapetinga/Acamp. Luís Carlos Prestes,15/05/2014,,50,MST
Subtotal:,2,,800,110,
Rio Grande do Sul,,,,,
Cacique Doble/Sananduva,T. I. Passo Grande do Rio Forquilha/Kaingang,27/04/2014,,,Índios
Cacique Doble/Sananduva,T. I. Passo Grande do Rio Forquilha/Kaingang,28/07/2014,200,50,Índios
Candiota,Área do CEEE,14/11/2014,38,145,MST
Capão do Leão,Faz. Galapeia/Granja do Pavão,28/04/2014,300,150,MST
Capão do Leão/Pelotas,Faz. da Palma - UFPel,28/04/2014,,,MAB/ MST
Capão do Leão/Pelotas,Faz. da Palma - UFPel,05/08/2014,700,200,MAB/ MST
Catuípe,Faz. da Família Cabral/Localidade Eng. Velho,28/04/2014,86,80,MST
Catuípe,Área de Cleni Tonetto/Localidade Linha Sta. Cruz,09/05/2014,,250,MST
Charqueadas,Área do Horto Florestal/CEEE,05/08/2014,92,520,MAB/ MST
Cruz Alta,Antiga Área da Varig,28/04/2014,10,100,MAB/ MST
Esmeralda,Fazenda Cambotã/Com. Agência,05/08/2014,206,110,MAB/ MST
Mato Castelhano,"Área da Reserva Nacional de Passo Fundo/T. I.Kaingang",07/01/2014,,,Índios
Mato Castelhano,"Área da Reserva Nacional de Passo Fundo/T. I.Kaingang",08/04/2014,,60,Índios
Passo Fundo,Fazenda de Dal Agnol,28/04/2014,30,150,MAB/ MST
Salto do Jacui,Área do Antigo Aeroporto,28/07/2014,,45,MST
Sananduva,Fazenda do Cláudio Beé,01/01/2014,22,80,MST
Tupanciretã,Área da Fepagro,14/11/2014,300,120,MST
Subtotal:,17,,19847,2060,
Rondônia,,,,,
Chupinguaia,Fazenda Nossa Senhora do Loredo,20/01/2014,,50,SI
Chupinguaia/Parecis,Faz. Rio Taboca/Acamp. Gilson Gonçalves,03/09/2014,,50,SI
Costa Marques,"Travessão Luiz Sanchez/Linha 21/Acamp. NovaEsperança/Área do Badra",30/09/2014,6,11,SI
Cujubim,Faz. São Francisco/Linha MC-7/Km 25,11/03/2014,,12,STR
Subtotal:,4,,60,123,
Santa Catarina,,,,,
Abelardo Luz,Fazenda Papuã,13/06/2014,170,530,MST
Caçador,"Área da Embrapa/Epagri/Acamp. SebastiãoSiqueira",10/03/2014,150,60,MST
Florianópolis/Palhoça,Área de Artêmio Paludo/Ocup. Amarildo,20/04/2014,,725,Índios/ MST/ OI
Praia Grande,Com. Quilombola São Roque,26/04/2014,,60,"MNU/Quilombolas"
Santa Cecília,Área do IBAMA,18/05/2014,50,300,MST
Zortéa,Faz. Volta Grande,04/03/2014,80,80,MST
Subtotal:,6,,4500,1755,
São Paulo,,,,,
,Faz. N. Sra. de Fátima,24/05/2014,,200,MST
Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Araraquara,Usina Citro Maringá,27/06/2014,,120,MST
Araraquara,Acamp. Capão dos Angicos/Us. Maringá,08/08/2014,,200,OI
Bauru,Faz. Sto. Antônio,23/03/2014,90,300,OI
Bauru,Área da América Latina Logística (ALL),26/07/2014,,250,MST
Bento de Abreu,Fazenda Rio Feio,08/09/2014,,,FNL
Borebi/Iaras,"Faz. Capim/Santo Henrique/NúcleoMonções/Cutrale",16/11/2014,270,60,MST
Dracena,Faz. Santa Luzia das Marrecas,01/03/2014,121,28,FNL
Dracena,Usina Dracena,06/09/2014,,,FNL
Dracena,Usina Dracena,13/12/2014,,15,FNL
Dracena,Área Arrendada para Us. Dracena,08/09/2014,,15,FNL
Espírito Santo do Turvo,Usina Agreste,13/12/2014,,80,FNL
Flora Rica,Fazenda João Paulo III,01/03/2014,,,FNL
Flora Rica,Fazenda João Paulo III,19/07/2014,,80,FNL
Guareí,Fazenda Santa Mônica,12/12/2014,,10,FNL
Guareí/Itapetininga,Usina Vista Alegre,14/12/2014,,10,FNL
Guareí/Itapetininga/Quadra/Tatuí,Fazenda Paiol,15/08/2014,,,FNL
Guareí/Itapetininga/Quadra/Tatuí,Fazenda Paiol,25/09/2014,,,FNL
Guareí/Itapetininga/Quadra/Tatuí,Fazenda Paiol,22/11/2014,200,800,FNL
Iepê,Fazenda Esperança,07/02/2014,50,50,MST***
Itapetininga,Fazenda Santa Rita,14/12/2014,1280,10,FNL
Itapeva,Horto Florestal,17/04/2014,,100,MST
Itapevi,"Área Bela Vista Alta/Comuna Pe. João CarlosPacchin",28/06/2014,,150,MST
João Ramalho,Fazenda Santo Antônio/Usina Local,04/04/2014,,60,MST***
João Ramalho,Fazenda Ventura,11/05/2014,,75,MST***
Marabá Paulista,Fazenda Floresta,01/03/2014,,22,FNL
Marabá Paulista,Fazenda Célia Maria,10/09/2014,,30,FNL
Marabá Paulista,Fazenda Vista Alegre,01/03/2014,40,40,FNL
Marabá Paulista,Faz. São Luiz/Grupo Sucroalcooleiro Decasa,01/03/2014,,,FNL
Marabá Paulista,Faz. São Luiz/Grupo Sucroalcooleiro Decasa,08/09/2014,,30,FNL
Marabá Paulista,Faz. Urupê/Grupo Sucroalcooleiro Decasa,01/03/2014,,30,FNL
Marabá Paulista,Fazenda Figueira,01/03/2014,,30,FNL
Martinópolis/Regente Feijó,Fazenda Estrela do Laranja Doce,07/09/2014,400,,FNL
Mirante do Paranapanema,Fazenda Santa Cruz,10/01/2014,90,13,MST***
Paulicéia,Fazenda São João do Pau d'Alho,01/03/2014,,40,FNL
Pederneiras,Área do Horto Florestal,07/06/2014,,50,OI
Pederneiras,Fazenda Guaia,05/11/2014,,213,MPST
Pederneiras,Fazenda Falcão,21/11/2014,,,MST
Pederneiras,Fazenda Falcão,28/11/2014,,45,OI
Pindamonhangaba,Área da Fatec,04/12/2014,,28,MST
Piratininga,Faz. São José/Louis Dreyfus Comoditus,16/05/2014,,170,FNL
Presidente Bernardes,Faz. Guarani/Guaranizinho,25/01/2014,,,FNL
Presidente Bernardes,Faz. Guarani/Guaranizinho,01/03/2014,56,80,FNL
Presidente Bernardes,Fazenda Bela Vista,01/03/2014,,40,FNL
Presidente Venceslau,Usina Decasa,07/09/2014,,,FNL
Presidente Venceslau,Usina Decasa,13/12/2014,,30,FNL
Rancharia,Fazenda Alice,01/05/2014,,40,FNL
Rancharia,Fazenda Saltinho,05/03/2014,,50,FNL
Regente Feijó,Destilaria Santa Fany,07/09/2014,,,FNL
Regente Feijó,Destilaria Santa Fany,13/12/2014,,20,FNL
Santo Anastácio,Usina Alvorada do Oeste/Agrícola Monções,07/09/2014,,20,FNL
Santo Anastácio,"Acamp. em Área de Divisa de Sto. Anastácio comPres. Bernardes",08/09/2014,,20,FNL
São Paulo,T. I. Jaraguá/Tekoa Pyau/Ytu/Itakupe,22/07/2014,170,200,Índios
Serrana,Faz. Martinópolis/Usina Nova União,01/05/2014,,450,MST
Tarabaí,Fazenda São José,19/04/2014,,70,MST
Tatuí,Fazenda São Nicolau,13/12/2014,,10,FNL
Tatuí,Fazenda Monsa,13/12/2014,,10,FNL
Subtotal:,57,,27673,4394,
Sergipe,,,,,
Cumbe,Faz. Araçá/Acamp. Euclides da Cunha,14/06/2014,,25,MST
Itaporanga da Ajuda,Fazenda São Raimundo,27/04/2014,,90,MST
Subtotal:,2,,0,115,
Tocantins,,,,,
Araguatins,Faz. Estrela e Novo Mundo,01/04/2014,,150,MST
,"Faz. Aruanã I, II, III e IV/Taboca",29/08/2014,,60,OI
Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Cristalândia/Lagoa da Confusão,"T. I. Mata Alagada/Loroty/Faz. Planeta/KrahôKanela",27/05/2014,,10,Índios
Fortaleza do Tabocão,Faz. Araguarina/Acamp. Olga Benário,04/03/2014,,500,MST
Palmeirante,Faz. Paraná/Acamp. São Francisco/Gleba Anajá,31/01/2014,,20,OI
Porto Nacional,Faz. Dom Augusto/Acamp. Sebastião Bezerra,07/06/2014,300,250,MST
Porto Nacional,Faz. Nossa Senhora do Carmo,07/06/2014,587,36,MST
Sampaio,Projeto de Irrigação Sampaio,03/12/2014,107,150,MST
Sampaio,Fazenda Jacira,03/12/2014,280,100,MST
Subtotal:,9,,12746,1276,
