Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Acre,,,,,
Boca do Acre/Rio Branco,Seringal Redenção,02/05/2014,,,SI
Boca do Acre/Rio Branco,Seringal Redenção,10/06/2014,47000,33,SI
Porto Acre,Fazenda Vista Alegre,19/09/2014,500,102,STR
Subtotal:,3,,47500,135,
Alagoas,,,,,
Atalaia,Área em Atalaia,25/07/2014,,133,MST
Branquinha,Faz. Batateira/Us. Laginha,23/04/2014,500,70,MLST
Japaratinga,Parte da Faz. Arrepiado,21/04/2014,69,50,MLST
Junqueiro,Área em Junqueiro,25/07/2014,,133,MST
Santana do Mundaú,Faz. Santa Ana/Us. Guaxuma,01/06/2014,,62,VT*
São Miguel dos Milagres,Fazenda Castelo,17/05/2014,,60,VT*
Teotônio Vilela,Faz. Sapé/Us. Guaxuma,01/06/2014,,40,VT*
Teotônio Vilela,Faz. Peri-peri/Us. Guaxuma,02/06/2014,,60,VT*
Teotônio Vilela,Faz. Nova/Us. Gauxuma,02/06/2014,,60,VT*
Teotônio Vilela,Faz. Padre Cícero/Us. Guaxuma,02/06/2014,,60,VT*
Teotônio Vilela,Área em Teotônio Vilela,25/07/2014,,133,MST
União dos Palmares,Faz. Amolar/Us. Laginha,22/05/2014,,60,MLST
União dos Palmares,Faz. São José/Us. Guaxuma,01/06/2014,,46,VT*
Subtotal:,13,,569,967,
Bahia,,,,,
Alcobaça,Área da Empresa Fibria Celulose,19/04/2014,,50,Índios
Baixa Grande,Fazenda Camapuã,25/07/2014,2600,250,MST
Boa Vista do Tupim,Fazenda Arcadia,14/06/2014,,15,Ceta
Conceição do Coité,Faz. Marruás/Itareru,16/01/2014,,,MST
Conceição do Coité,Faz. Marruás/Itareru,10/07/2014,616,400,MST
Encruzilhada,Faz. Próxima à Nascente do Rio  Água Preta,17/05/2014,400,,"Ceta/ MPA/MST/ MTD"
Itaberaba,Fazenda Bom Jardim,30/03/2014,,200,MST
Itamaraju/Porto Seguro/Prado,Faz. Caveira/T. I. Barra Velha,19/04/2014,,,Índios
Itamaraju/Porto Seguro/Prado,Faz. Barra Mansa/T. I. Barra Velha,24/04/2014,,250,Índios
Itamaraju/Porto Seguro/Prado,Faz. Brasília/T. I. Barra Velha,24/04/2014,,250,Índios
Mundo Novo,Fazenda Jequitibá,02/01/2014,,20,Ceta
